date,start_hour,end_hour,solar_mwh,wind_mwh,price_euros_mwh,solarSubventions_euros,windSubventions_euros
2015-01-01,00:00,01:00,0,1314,53.48,0,46147.67999999999
2015-01-01,01:00,02:00,0,1383,51.93,0,50714.60999999999
2015-01-01,02:00,03:00,0,1464,48.76,0,58325.759999999995
2015-01-01,03:00,04:00,0,1543,42.27,0,71487.18999999999
2015-01-01,04:00,05:00,0,1579,38.41,0,79250.01
2015-01-01,05:00,06:00,0,1482,35.72,0,78368.15999999999
2015-01-01,06:00,07:00,0,1387,32.66,0,77588.78
2015-01-01,07:00,08:00,0,1583,32.83,0,88283.90999999999
2015-01-01,08:00,09:00,59,1814,30.06,20257.059999999998,106191.55999999998
2015-01-01,09:00,10:00,385,1936,29.24,132501.59999999998,114920.95999999999
2015-01-01,10:00,11:00,1053,1927,37.54,353660.57999999996,98392.62
2015-01-01,11:00,12:00,1635,1846,41.19,543163.35,87518.86
2015-01-01,12:00,13:00,1883,1768,44.69,618960.9299999999,77632.87999999999
2015-01-01,13:00,14:00,1857,1715,39.77,619550.91,83743.44999999998
2015-01-01,14:00,15:00,1516,1693,33.29,515606.75999999995,93639.82999999999
2015-01-01,15:00,16:00,911,1697,32.47,310587.23,95252.60999999999
2015-01-01,16:00,17:00,300,1938,34.73,101600.99999999999,104400.06
2015-01-01,17:00,18:00,39,2301,40.95,12965.55,109642.64999999998
2015-01-01,18:00,19:00,0,2672,51.25,0,99799.19999999998
2015-01-01,19:00,20:00,0,3017,52.55,0,108762.84999999999
2015-01-01,20:00,21:00,0,3289,49.55,0,128435.45
2015-01-01,21:00,22:00,0,3496,46.31,0,147845.83999999997
2015-01-01,22:00,23:00,0,3619,48.75,0,144217.14999999997
2015-01-01,23:00,00:00,0,3887,47.59,0,159405.86999999997
2015-01-02,00:00,01:00,0,3971,38.8,0,197755.8
2015-01-02,01:00,02:00,0,4022,36.73,0,208621.13999999998
2015-01-02,02:00,03:00,0,4034,33.52,0,222192.71999999997
2015-01-02,03:00,04:00,0,4223,27.5,0,258025.3
2015-01-02,04:00,05:00,0,4433,22.84,0,291514.07999999996
2015-01-02,05:00,06:00,0,4504,26.1,0,281499.99999999994
2015-01-02,06:00,07:00,0,4490,27.17,0,275820.69999999995
2015-01-02,07:00,08:00,0,4425,33.33,0,244569.74999999997
2015-01-02,08:00,09:00,57,4247,42.06,18886.379999999997,197655.37999999998
2015-01-02,09:00,10:00,331,3843,46.13,108326.37,163212.20999999996
2015-01-02,10:00,11:00,842,3518,44.05,277312.69999999995,156726.9
2015-01-02,11:00,12:00,1271,3270,45.3,417015.1,141591
2015-01-02,12:00,13:00,1397,3083,48.64,453689.72,123196.67999999998
2015-01-02,13:00,14:00,1360,2771,44.87,446800.8,121175.82999999999
2015-01-02,14:00,15:00,1119,2381,41,371955.6,113335.59999999999
2015-01-02,15:00,16:00,639,2162,39.78,213183.18,105548.83999999998
2015-01-02,16:00,17:00,203,1877,39.73,67735.01,91728.98999999999
2015-01-02,17:00,18:00,36,1692,50.24,11633.759999999998,64905.11999999999
2015-01-02,18:00,19:00,0,1605,54.1,0,55372.499999999985
2015-01-02,19:00,20:00,0,1488,53.13,0,52779.359999999986
2015-01-02,20:00,21:00,0,1367,48.81,0,54392.929999999986
2015-01-02,21:00,22:00,0,1192,42.99,0,54367.11999999999
2015-01-02,22:00,23:00,0,1088,48.76,0,43345.92
2015-01-02,23:00,00:00,0,1038,48.45,0,41675.69999999999
2015-01-03,00:00,01:00,0,1168,46.97,0,48623.84
2015-01-03,01:00,02:00,0,1278,43.27,0,57931.73999999999
2015-01-03,02:00,03:00,0,1376,41.76,0,64451.84
2015-01-03,03:00,04:00,0,1606,37.54,0,82002.35999999999
2015-01-03,04:00,05:00,0,1905,32.99,0,105937.04999999999
2015-01-03,05:00,06:00,0,2182,31.24,0,125159.52
2015-01-03,06:00,07:00,0,2344,36.71,0,121630.15999999999
2015-01-03,07:00,08:00,0,2744,39.47,0,134812.72
2015-01-03,08:00,09:00,52,3217,44.51,17102.28,141837.53
2015-01-03,09:00,10:00,275,3846,44.45,90461.25,169800.89999999997
2015-01-03,10:00,11:00,693,4216,45.01,227574.27,183775.43999999997
2015-01-03,11:00,12:00,1025,4683,45.36,336240.99999999994,202492.91999999998
2015-01-03,12:00,13:00,1183,5302,45.6,387787.39999999997,227985.99999999997
2015-01-03,13:00,14:00,1204,5822,43.4,397320,263154.39999999997
2015-01-03,14:00,15:00,991,6246,39.6,330795.79999999993,306053.99999999994
2015-01-03,15:00,16:00,600,6630,35.48,202751.99999999997,352185.6
2015-01-03,16:00,17:00,209,6730,33.85,70965.95,368467.49999999994
2015-01-03,17:00,18:00,38,6649,45.96,12442.72,283513.3599999999
2015-01-03,18:00,19:00,0,6362,49.82,0,246718.35999999996
2015-01-03,19:00,20:00,0,5858,47.62,0,240060.83999999997
2015-01-03,20:00,21:00,0,4972,43.79,0,222795.31999999998
2015-01-03,21:00,22:00,0,4106,42.44,0,189532.96
2015-01-03,22:00,23:00,0,3385,42.03,0,157639.44999999998
2015-01-03,23:00,00:00,0,2742,40.91,0,130765.98
2015-01-04,00:00,01:00,0,2376,36.26,0,124359.84
2015-01-04,01:00,02:00,0,2172,32.28,0,122327.03999999998
2015-01-04,02:00,03:00,0,2086,27.63,0,127183.42
2015-01-04,03:00,04:00,0,1815,23.94,0,117357.9
2015-01-04,04:00,05:00,0,1562,15.69,0,113885.42
2015-01-04,05:00,06:00,0,1370,18.14,0,96530.2
2015-01-04,06:00,07:00,0,1273,20.03,0,87289.60999999999
2015-01-04,07:00,08:00,0,1164,19.23,0,80746.68
2015-01-04,08:00,09:00,56,1061,27.31,19381.039999999997,65028.689999999995
2015-01-04,09:00,10:00,335,1019,34.54,113518.09999999999,55087.13999999999
2015-01-04,10:00,11:00,847,970,36.7,285184.89999999997,50342.99999999999
2015-01-04,11:00,12:00,1235,928,37.14,415281.1,47754.88
2015-01-04,12:00,13:00,1362,889,42.55,450617.69999999995,40938.45
2015-01-04,13:00,14:00,1370,892,38.34,459032.19999999995,44831.91999999999
2015-01-04,14:00,15:00,1142,895,32.68,389102.24,50048.399999999994
2015-01-04,15:00,16:00,681,896,25.25,237090.15,56761.59999999999
2015-01-04,16:00,17:00,229,890,30.43,78540.12999999999,51771.299999999996
2015-01-04,17:00,18:00,37,920,43.04,12223.319999999998,41915.2
2015-01-04,18:00,19:00,0,884,54.35,0,30276.999999999993
2015-01-04,19:00,20:00,0,901,51.57,0,33364.02999999999
2015-01-04,20:00,21:00,0,951,49.99,0,36718.10999999999
2015-01-04,21:00,22:00,0,957,41.18,0,45380.939999999995
2015-01-04,22:00,23:00,0,1005,44.79,0,44029.049999999996
2015-01-04,23:00,00:00,0,982,42.96,0,44818.479999999996
2015-01-05,00:00,01:00,0,1057,36.56,0,55006.27999999999
2015-01-05,01:00,02:00,0,1048,34.94,0,56235.67999999999
2015-01-05,02:00,03:00,0,1010,32.19,0,56974.1
2015-01-05,03:00,04:00,0,947,23.53,0,61621.28999999999
2015-01-05,04:00,05:00,0,821,22.92,0,53923.27999999999
2015-01-05,05:00,06:00,0,760,34.26,0,41298.399999999994
2015-01-05,06:00,07:00,0,731,44.28,0,32397.919999999995
2015-01-05,07:00,08:00,0,825,50.38,0,31531.499999999993
2015-01-05,08:00,09:00,64,848,53.79,20455.039999999997,29518.879999999997
2015-01-05,09:00,10:00,371,796,52.03,119228.27,29109.719999999994
2015-01-05,10:00,11:00,949,702,50.6,306337.19999999995,26675.999999999996
2015-01-05,11:00,12:00,1436,576,50.5,463684.39999999997,21945.6
2015-01-05,12:00,13:00,1609,515,48.45,522844.55,20677.249999999996
2015-01-05,13:00,14:00,1582,476,44.54,520256.51999999996,20972.559999999998
2015-01-05,14:00,15:00,1325,436,42,439104.99999999994,20317.6
2015-01-05,15:00,16:00,819,429,43.1,270515.69999999995,19519.499999999996
2015-01-05,16:00,17:00,278,469,46.7,90822.59999999999,19651.099999999995
2015-01-05,17:00,18:00,41,546,56.78,12981.42,17373.719999999998
2015-01-05,18:00,19:00,0,602,58.84,0,17915.519999999993
